dataset,model,initialization,train_time_mean,edges,avg_degree,depth_mean,width_mean,shd,edge_precision,edge_recall,inf_memory_mean,inf_time_mean,inferences,acc,conf
alarm,bnlearn,0,0.22677999999996246,46,1.2432432432432432,10,49,0,1.0,1.0,0.0,0.0015264512743628322,2001,0.23338330834582707,0.3762701982342196
alarm,bnlearn,1,0.2172330000000784,46,1.2432432432432432,10,49,0,1.0,1.0,0.0,0.0015216561719140615,2001,0.23338330834582707,0.3762701982342196
alarm,bnlearn,2,0.19301399999994828,46,1.2432432432432432,10,49,0,1.0,1.0,0.0,0.0015233628185906754,2001,0.23338330834582707,0.3762701982342196
alarm,bnlearn,3,0.19674600000007558,46,1.2432432432432432,10,49,0,1.0,1.0,0.046875,0.0015264052973513404,2001,0.23338330834582707,0.3762701982342196
alarm,bnlearn,4,0.20691699999997581,46,1.2432432432432432,10,49,0,1.0,1.0,0.015625,0.0015167046476761827,2001,0.23338330834582707,0.3762701982342196
sprinkler,bnlearn,0,0.0183039999999437,4,1.0,2,2,0,1.0,1.0,0.0,0.00017790291262142612,206,0.49029126213592233,0.5
sprinkler,bnlearn,1,0.008599000000003798,4,1.0,2,2,0,1.0,1.0,0.0,0.00020302912621423936,206,0.49029126213592233,0.5
sprinkler,bnlearn,2,0.009212000000161424,4,1.0,2,2,0,1.0,1.0,0.0,0.00018054854368877837,206,0.49029126213592233,0.5
sprinkler,bnlearn,3,0.0192979999999352,4,1.0,2,2,0,1.0,1.0,0.0,0.0001835242718437796,206,0.49029126213592233,0.5
sprinkler,bnlearn,4,0.008793999999852531,4,1.0,2,2,0,1.0,1.0,0.0,0.0002530873786397633,206,0.49029126213592233,0.5
